"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam"
"mod_23",-13.1419675421055,-13.2153516783206,-13.5434568964034,-13.8506904258661,-12.0482837242244,-13.3770022129358,-14.0419674037786
"mod_24",-12.0502020475831,-12.5916151802649,-12.7002490212677,-13.6352055238809,-11.6395885687303,-16.7261877815989,-14.4279724668875
"mod_25",-12.925670784937,-13.2510931853716,-13.5277085394352,-14.7557967192677,-11.36767916212,-16.1849151504887,-14.3121181412865
"mod_26",-12.925670784937,-13.7636552770903,-13.4099255037788,-14.6016460394405,-11.63796949186,-15.8905276932811,-14.3121181412865
"mod_27",-12.2064983126836,-13.0687716285777,-13.3453869826413,-13.2358257132408,-12.869827848841,-15.6795873059298,-14.1297965844925
"mod_28",-13.3311358930451,-13.3311358930451,-13.5387752578234,-13.1592856361185,-12.9327925067842,-15.103828492455,-14.3121181412865
"mod_29",-13.1865090436304,-14.1806204435583,-13.3434338927754,-12.885842022539,-13.0239127683134,-14.5696024557587,-15.0388157888557
"mod_30",-12.0187285266409,-12.5720673106916,-12.1919125828686,-13.0329259417171,-12.5495327644679,-14.9949494976812,-14.2465522070688
"mod_31",-12.4798576104382,-12.8957334742433,-12.6418983834036,-12.7586488944458,-11.9746349575325,-15.3438091464545,-14.2165780272291
"mod_32",-12.8598791668596,-13.1786788046025,-13.2557748239516,-14.5194079412035,-11.2965832404363,-16.1136712445953,-15.019882071899
"mod_33",-12.1651307049327,-12.7420278013445,-12.8663100571899,-13.8175270806748,-11.7491708930992,-16.797470293771,-14.883723862571
"mod_34",-13.3223169693345,-13.7571531811957,-13.8245731003119,-14.3293905571131,-11.5887550687501,-16.2700182236909,-15.1793680273796
"mod_35",-13.3823298338086,-13.8343149575516,-13.7286537083512,-14.1391214334052,-11.6634437746784,-16.3695128376602,-15.2644301653976
"mod_36",-13.2503434697094,-13.5742333017689,-13.9183294635008,-14.802764634721,-11.0881566845055,-15.762585833518,-15.13412596866
"mod_37",-12.9732005475684,-13.8634479425958,-13.6654259748054,-14.5326531679535,-11.3779584171441,-16.0201192243291,-15.0783276107263
"mod_38",-13.4890707800286,-13.8685604017335,-13.6539858433812,-14.4744446223966,-11.5473715293457,-15.6760018130659,-14.8161464200032
"mod_39",-12.2505894182356,-13.6658685513989,-12.5932825400841,-13.3140437320756,-12.6426846474544,-15.022903550552,-15.1564349431765
"mod_40",-13.6878108369839,-12.5089350862257,-14.1296435892629,-14.3809580175438,-12.0482837242244,-14.5352616926007,-14.0701493934957
"mod_41",-13.2892127295157,-13.9156187319421,-13.8522825380986,-14.3409465900617,-11.5662827922569,-16.4600474409445,-15.5437567090703
"mod_42",-12.1710116616728,-12.7563058884753,-12.2026602675263,-13.5294433152372,-11.7190017580105,-16.5352906145441,-14.954230939667
"mod_43",-12.9771069214419,-13.6234996040769,-13.4382328766557,-15.1589517288515,-11.7180121995335,-16.308672080462,-14.6712874168244
