"","IP1.bam","IP2.bam","IP3.bam","IP4.bam","Input1.bam","Input2.bam","Input3.bam","treated_IP1.bam","treated_Input1.bam"
"mod_33",-12.3559561017294,-13.1088735379064,-11.909122841798,-12.3040866600855,-14.3377589679725,-17.1558216382637,-16.7122412703158,-12.5738859030405,-16.7612229541026
"mod_34",-12.4688061597313,-12.8705167717806,-12.3156550969104,-12.6196954390718,-14.2730525854408,-16.8612701058007,-16.9475098714398,-12.3085619319926,-16.2189627344961
"mod_35",-12.3823354033332,-12.8272740369509,-12.1460238091115,-12.5132983408792,-14.320181121876,-17.0093258651946,-16.9282705609436,-12.23512166754,-16.3159788224753
"mod_36",-12.5738859030405,-13.3964632700123,-12.248057247386,-12.5847386026809,-14.2730525854408,-17.264218724548,-16.5962129242347,-13.0990676616057,-17.0662605948833
"mod_37",-12.5738859030405,-13.3964632700123,-12.248057247386,-12.5847386026809,-14.2730525854408,-17.264218724548,-16.5962129242347,-13.0990676616057,-17.0662605948833
"mod_38",-12.7348057721069,-13.5399000702671,-12.5407961124864,-12.8483452623824,-14.2339601502405,-17.3865449778849,-16.5554349711173,-13.4167870366435,-17.2427617975897
"mod_39",-12.5738859030405,-13.3964632700123,-12.248057247386,-12.5847386026809,-14.2730525854408,-17.264218724548,-16.5962129242347,-13.0990676616057,-17.0662605948833
"mod_40",-12.5738859030405,-13.3964632700123,-12.248057247386,-12.5847386026809,-14.2730525854408,-17.264218724548,-16.5962129242347,-13.0990676616057,-17.0662605948833
"mod_41",-13.1005880042489,-13.7963535356321,-13.2243840414002,-13.4848840771271,-14.1573957708674,-17.7017215541587,-16.5168332806685,-14.0460059248253,-17.604345331058
"mod_42",-13.4410850124215,-13.9744498878631,-13.8286097112256,-14.0708138530268,-14.1029910775629,-18.0117627685093,-16.5453487864016,-14.5064835894371,-17.9214871735417
"mod_43",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_44",-12.7348057721069,-13.5399000702671,-12.5407961124864,-12.8483452623824,-14.2339601502405,-17.3865449778849,-16.5554349711173,-13.4167870366435,-17.2427617975897
"mod_45",-12.3220513627905,-13.029393704995,-11.8794753600457,-12.2882598198986,-14.3508404402042,-17.1526316209163,-16.7528770560762,-12.4565299125044,-16.6827094877892
"mod_46",-12.4298358532599,-12.847250602676,-12.2417362271318,-12.5745842317716,-14.2943087018185,-16.9281840510741,-16.9413583834185,-12.2715374433858,-16.2585742835191
"mod_47",-13.6749278276449,-14.0403095636797,-14.1536188597096,-14.4197114498837,-14.0889891235165,-18.2212760631463,-16.6465866328941,-14.6519587700398,-18.1414688309241
"mod_48",-12.9805873407172,-13.7200558152632,-13.0005425121579,-13.2738664136231,-14.1808127640516,-17.5949502313421,-16.5225152455562,-13.852326489227,-17.4894077286816
"mod_49",-12.7348057721069,-13.5399000702671,-12.5407961124864,-12.8483452623824,-14.2339601502405,-17.3865449778849,-16.5554349711173,-13.4167870366435,-17.2427617975897
"mod_50",-14.1202446176649,-14.9940457315745,-14.1814993220744,-13.1551153737626,-14.9926719767749,-17.1994669411097,-16.5639361683775,-13.3817344943039,-16.4935830340823
"mod_51",-12.2992295834608,-12.93571880773,-11.8855474835181,-12.3058477484681,-14.3612082684101,-17.1517504613686,-16.8075727747734,-12.3324025505754,-16.583715058766
"mod_52",-13.3217904560426,-13.7580558896082,-13.6577447876421,-13.2995134765848,-13.878646379655,-15.5218445053013,-16.8349881784947,-13.437312623382,-15.7955340080439
"mod_53",-12.7079793847641,-13.0731534005962,-12.7280305502637,-12.8503263149338,-14.1462351616966,-16.4553559867871,-16.945629540486,-12.5939733055316,-16.0426985399373
"mod_54",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_55",-13.6749278276449,-14.0403095636797,-14.1536188597096,-14.4197114498837,-14.0889891235165,-18.2212760631463,-16.6465866328941,-14.6519587700398,-18.1414688309241
"mod_56",-13.8245731746214,-13.8916494721651,-14.0512029083818,-14.4951014622258,-14.1585975686878,-18.3584151899988,-16.9884148261611,-14.1906230201326,-18.3234045288704
"mod_57",-12.444561106944,-12.8130147500753,-12.0872306402024,-14.3859707278193,-14.3362314870623,-18.1876410205451,-16.9512891371825,-13.5257790638073,-18.1744734862601
"mod_58",-12.5674466211759,-12.8434093722803,-12.1154703644153,-14.2528498781233,-14.3544470871691,-18.1648728835514,-17.0662605948833,-13.3128426196318,-18.1648728835514
"mod_59",-13.1637548264079,-13.0761425883856,-12.4610904088952,-13.8343097312148,-14.3954569809249,-18.1215128973079,-17.4717257029915,-12.6700349700121,-18.1648728835514
"mod_60",-13.6749278276449,-14.0403095636797,-14.1536188597096,-14.4197114498837,-14.0889891235165,-18.2212760631463,-16.6465866328941,-14.6519587700398,-18.1414688309241
"mod_61",-13.2802878025301,-13.8980311208599,-13.5521803480019,-13.7989033223801,-14.1259235361042,-17.8648216406787,-16.5219630158773,-14.3093710156559,-17.7726627033024
"mod_62",-12.9145668999755,-13.6750866721208,-12.8767471700264,-13.1582125721628,-14.1944079271478,-17.5373376271579,-16.5284828445052,-13.7404555281023,-17.4249175360676
"mod_63",-12.4443882312444,-13.2504459700172,-12.0300558768568,-12.3968478722866,-14.3086853663759,-17.1852329737742,-16.6493398390843,-12.8113641625273,-16.9037961112821
"mod_64",-14.1512340052867,-14.9713382501836,-14.381413925253,-13.3391961528332,-14.6103685169126,-16.4216595419907,-16.5705864721604,-13.7458282150299,-16.2563690729141
"mod_65",-14.1512340052867,-14.9713382501836,-14.381413925253,-13.3391961528332,-14.6103685169126,-16.4216595419907,-16.5705864721604,-13.7458282150299,-16.2563690729141
"mod_66",-14.13987505446,-14.9863973329189,-14.2911085484068,-13.2537349965841,-14.7907741381322,-16.7865348659691,-16.5664927710569,-13.5777568359341,-16.3683839863936
"mod_67",-14.0605997034094,-14.9934197372348,-13.9087936905414,-12.9192001395361,-15.4634233664805,-18.1714735675828,-16.5620356551487,-12.9087833786779,-16.7851792064629
"mod_68",-14.0345955640692,-14.702754996409,-14.5240051912294,-13.5918198551584,-13.9323467468254,-15.1560079378138,-16.6326032805007,-14.1949069095473,-15.8316847760517
"mod_69",-13.9200536382026,-14.5338874078564,-14.424157886291,-13.5865097812736,-13.833868229406,-15.036908122936,-16.6701760421729,-14.1482846346689,-15.7677375444656
"mod_70",-12.5788953705384,-12.9546786478201,-12.5118893461081,-12.7330312078993,-14.2136862240841,-16.6728333944572,-16.9526467323861,-12.4315316066537,-16.1274610697021
"mod_71",-12.3081581216352,-12.9834207285147,-11.8760557610584,-12.291429685373,-14.3568320767849,-17.1525863176556,-16.7785785224315,-12.3936129646506,-16.6357271840449
"mod_72",-12.3559561017294,-13.1088735379064,-11.909122841798,-12.3040866600855,-14.3377589679725,-17.1558216382637,-16.7122412703158,-12.5738859030405,-16.7612229541026
"mod_73",-12.2984048266181,-12.8867582243209,-11.9148976412919,-12.3364746474829,-14.3623901661736,-17.1457811859172,-16.841206574151,-12.274691634389,-16.5226380052343
"mod_74",-12.2984048266181,-12.8867582243209,-11.9148976412919,-12.3364746474829,-14.3623901661736,-17.1457811859172,-16.841206574151,-12.274691634389,-16.5226380052343
"mod_75",-12.3241067523346,-12.831556707804,-12.0096914891524,-12.4168192457493,-14.3509187094988,-17.1056604170157,-16.8929804041939,-12.2212681992873,-16.4172846217961
"mod_76",-13.3217904560426,-13.7580558896082,-13.6577447876421,-13.2995134765848,-13.878646379655,-15.5218445053013,-16.8349881784947,-13.437312623382,-15.7955340080439
"mod_77",-12.3823354033332,-12.8272740369509,-12.1460238091115,-12.5132983408792,-14.320181121876,-17.0093258651946,-16.9282705609436,-12.23512166754,-16.3159788224753
"mod_78",-13.7550352968631,-14.3083110029254,-14.2359491771201,-13.5319896100323,-13.7965685029499,-15.0724561082862,-16.7198610405914,-13.9914614524626,-15.7409324072741
"mod_79",-12.3781663806754,-13.1503429590715,-11.9355332685292,-12.3225449774208,-14.3299046666964,-17.160559846925,-16.6926325783279,-12.6394956769373,-16.8021019348125
"mod_80",-12.4035152476081,-13.1919845035651,-11.9694744055244,-12.3481971060758,-14.321438732525,-17.1682633377055,-16.6739406583225,-12.7085685850796,-16.8437031240608
"mod_81",-13.4764937225039,-13.9490010589729,-13.8729806699705,-13.3919152882366,-13.8330686704757,-15.3292674503437,-16.7964266729171,-13.6462536534717,-15.762837831081
"mod_82",-13.0046372195091,-13.3866164784668,-13.1932497976838,-13.0848772139123,-14.0036914293925,-15.9786401049592,-16.9029265849614,-12.9970432319722,-15.8982897328698
